rank	name	childcount	min	max	mode	median	mean	stddev
genus	Glaciecola	4	4	6			5.0	0.71
genus	Brachybacterium	1	3	3			3.0	0.0
genus	Halanaerobium	2	4	4			4.0	0.0
genus	Clostridium XII	1	6	6			6.0	0.0
genus	Treponema	9	2	4			2.56	0.83
genus	Methanothermus	1	2	2			2.0	0.0
genus	GpXIII	3	2	3			2.33	0.47
genus	Thermodesulfovibrio	1	1	1			1.0	0.0
genus	Acidobacterium	1	1	1			1.0	0.0
genus	Hippea	1	2	2			2.0	0.0
genus	Nitrobacter	2	1	1			1.0	0.0
genus	Meiothermus	2	2	2			2.0	0.0
genus	Kribbella	1	2	2			2.0	0.0
genus	Thermus	4	2	2			2.0	0.0
genus	Corallococcus	1	3	3			3.0	0.0
genus	Taylorella	2	3	3			3.0	0.0
genus	Advenella	1	2	2			2.0	0.0
genus	Methylovorus	2	2	2			2.0	0.0
genus	Alicyclobacillus	1	6	6			6.0	0.0
genus	Streptococcus	28	1	7			4.63	1.24
genus	Aeropyrum	2	1	1			1.0	0.0
genus	Nitrospira	1	1	1			1.0	0.0
genus	Chelativorans	1	2	2			2.0	0.0
genus	Acidilobus	1	1	1			1.0	0.0
genus	Ketogulonicigenium	1	5	5			5.0	0.0
genus	Persephonella	1	2	2			2.0	0.0
genus	Marinitoga	1	3	3			3.0	0.0
genus	Terriglobus	2	1	2			1.5	0.5
genus	Heliobacterium	1	8	8			8.0	0.0
genus	Caldisphaera	1	1	1			1.0	0.0
genus	Akkermansia	1	3	3			3.0	0.0
genus	Desulfurobacterium	1	2	2			2.0	0.0
genus	Citrobacter	1	7	7			7.0	0.0
genus	Buchnera	1	1	1			1.0	0.0
genus	Stenotrophomonas	1	4	4			4.0	0.0
genus	Desulfobacca	1	1	1			1.0	0.0
genus	Sphingopyxis	1	1	1			1.0	0.0
genus	Desulfomonile	1	1	1			1.0	0.0
genus	Renibacterium	1	2	2			2.0	0.0
genus	Clostridium sensu stricto	13	6	14			9.66	1.97
genus	Thermodesulfobacterium	1	1	1			1.0	0.0
genus	Rhodothermus	1	1	1			1.0	0.0
genus	Granulicella	2	1	1			1.0	0.0
genus	Chitinophaga	1	6	6			6.0	0.0
genus	Oligotropha	1	1	1			1.0	0.0
genus	Gardnerella	1	2	2			2.0	0.0
genus	Amycolatopsis	2	4	4			4.0	0.0
genus	Zunongwangia	1	3	3			3.0	0.0
genus	Granulibacter	1	3	3			3.0	0.0
genus	GpIV	1	1	1			1.0	0.0
genus	Olivibacter	1	4	4			4.0	0.0
genus	Oenococcus	1	2	2			2.0	0.0
genus	Leuconostoc	7	4	4			4.0	0.0
genus	Isoptericola	1	3	3			3.0	0.0
genus	Waddlia	1	2	2			2.0	0.0
genus	Methanosphaera	1	4	4			4.0	0.0
genus	Thermosediminibacter	1	3	3			3.0	0.0
genus	Methanococcus	4	2	4			2.7	0.82
genus	Acetobacter	1	5	5			5.0	0.0
genus	Desulfomicrobium	1	2	2			2.0	0.0
genus	Gluconobacter	1	4	5			4.5	0.0
